home_team,away_team,home_times,away_times,home_win,away_win,home_goals,away_goals,home_r_win,away_r_win,home_Ave_goal,away_Ave_goal,result
Serbia,Brazil,13,109,4,73,11,229,0.3076923076923077,0.6697247706422018,0.8461538461538461,2.1009174311926606,0
Switzerland,Costa Rica,37,18,12,5,50,19,0.3243243243243243,0.2777777777777778,1.351351351351351,1.0555555555555556,-1
Japan,Poland,21,34,5,16,20,46,0.238095238095238,0.4705882352941176,0.9523809523809524,1.3529411764705883,0
Senegal,Colombia,8,22,3,9,11,32,0.375,0.4090909090909091,1.375,1.4545454545454546,0
Panama,Tunisia,3,15,0,2,2,13,0.0,0.1333333333333333,0.6666666666666666,0.8666666666666667,0
England,Belgium,69,48,29,20,91,68,0.4202898550724637,0.4166666666666667,1.318840579710145,1.4166666666666667,0
France,Argentina,66,81,34,43,120,137,0.5151515151515151,0.5308641975308642,1.818181818181818,1.691358024691358,1
Uruguay,Portugal,56,30,24,14,87,49,0.4285714285714285,0.4666666666666667,1.5535714285714286,1.6333333333333333,1
Russia,Spain,45,63,19,30,77,99,0.4222222222222222,0.4761904761904761,1.711111111111111,1.5714285714285714,-1
Croatia,Denmark,23,20,11,9,35,30,0.4782608695652174,0.45,1.5217391304347827,1.5,-1
Brazil,Mexico,109,57,73,16,229,60,0.6697247706422018,0.2807017543859649,2.1009174311926606,1.0526315789473684,1
Belgium,Japan,48,21,20,5,68,20,0.4166666666666667,0.238095238095238,1.4166666666666667,0.9523809523809524,1
Sweden,Switzerland,51,37,19,12,80,50,0.3725490196078431,0.3243243243243243,1.568627450980392,1.351351351351351,1
Colombia,England,22,69,9,29,32,91,0.4090909090909091,0.4202898550724637,1.4545454545454546,1.318840579710145,-1
Uruguay,France,56,66,24,34,87,120,0.4285714285714285,0.5151515151515151,1.5535714285714286,1.818181818181818,0
Brazil,Belgium,109,48,73,20,229,68,0.6697247706422018,0.4166666666666667,2.1009174311926606,1.4166666666666667,0
Sweden,England,51,69,19,29,80,91,0.3725490196078431,0.4202898550724637,1.568627450980392,1.318840579710145,0
Russia,Croatia,45,23,19,11,77,35,0.4222222222222222,0.4782608695652174,1.711111111111111,1.5217391304347827,-1
France,Belgium,66,48,34,20,120,68,0.5151515151515151,0.4166666666666667,1.818181818181818,1.4166666666666667,1
Croatia,England,23,69,11,29,35,91,0.4782608695652174,0.4202898550724637,1.5217391304347827,1.318840579710145,1
Belgium,England,48,69,20,29,68,91,0.4166666666666667,0.4202898550724637,1.4166666666666667,1.318840579710145,1
France,Croatia,66,23,34,11,120,35,0.5151515151515151,0.4782608695652174,1.818181818181818,1.5217391304347827,1
